Team 1,Team 2,Wins
New York Knicks,Memphis Grizzlies,1
New York Knicks,Miami Heat,2
New York Knicks,Milwaukee Bucks,1
New York Knicks,Minnesota Timberwolves,2
New York Knicks,New Orleans Pelicans,0
New York Knicks,Oklahoma City Thunder,0
New York Knicks,Orlando Magic,3
New York Knicks,Philadelphia 76ers,2
New York Knicks,Phoenix Suns,0
New York Knicks,Portland Trail Blazers,1
New York Knicks,Sacramento Kings,2
New York Knicks,San Antonio Spurs,1
New York Knicks,Toronto Raptors,0
New York Knicks,Utah Jazz,0
New York Knicks,Washington Wizards,0
Oklahoma City Thunder,Atlanta Hawks,1
Oklahoma City Thunder,Boston Celtics,2
Oklahoma City Thunder,Brooklyn Nets,2
Oklahoma City Thunder,Charlotte Hornets,0
Oklahoma City Thunder,Chicago Bulls,1
Oklahoma City Thunder,Cleveland Cavaliers,1
Oklahoma City Thunder,Dallas Mavericks,2
Oklahoma City Thunder,Denver Nuggets,3
Oklahoma City Thunder,Detroit Pistons,1
Oklahoma City Thunder,Golden State Warriors,0
Oklahoma City Thunder,Houston Rockets,1
Oklahoma City Thunder,Indiana Pacers,0
Oklahoma City Thunder,Los Angeles Clippers,2
Oklahoma City Thunder,Los Angeles Lakers,2
Oklahoma City Thunder,Memphis Grizzlies,3
Oklahoma City Thunder,Miami Heat,2
Oklahoma City Thunder,Milwaukee Bucks,1
Oklahoma City Thunder,Minnesota Timberwolves,3
Oklahoma City Thunder,New Orleans Pelicans,4
Oklahoma City Thunder,New York Knicks,2
Oklahoma City Thunder,Orlando Magic,1
Oklahoma City Thunder,Philadelphia 76ers,2
Oklahoma City Thunder,Phoenix Suns,2
Oklahoma City Thunder,Portland Trail Blazers,1
Oklahoma City Thunder,Sacramento Kings,2
Oklahoma City Thunder,San Antonio Spurs,1
Oklahoma City Thunder,Toronto Raptors,1
Oklahoma City Thunder,Utah Jazz,3
Oklahoma City Thunder,Washington Wizards,1
Orlando Magic,Atlanta Hawks,2
Orlando Magic,Boston Celtics,0
Orlando Magic,Brooklyn Nets,2
Orlando Magic,Charlotte Hornets,0
Orlando Magic,Chicago Bulls,1
Orlando Magic,Cleveland Cavaliers,0
Orlando Magic,Dallas Mavericks,1
Orlando Magic,Denver Nuggets,0
Orlando Magic,Detroit Pistons,3
Orlando Magic,Golden State Warriors,0
Orlando Magic,Houston Rockets,0
Orlando Magic,Indiana Pacers,0
Orlando Magic,Los Angeles Clippers,0
Orlando Magic,Los Angeles Lakers,1
Orlando Magic,Memphis Grizzlies,1
Orlando Magic,Miami Heat,3
Orlando Magic,Milwaukee Bucks,1
Orlando Magic,Minnesota Timberwolves,0
Orlando Magic,New Orleans Pelicans,1
Orlando Magic,New York Knicks,1
Orlando Magic,Oklahoma City Thunder,1
Orlando Magic,Philadelphia 76ers,3
Orlando Magic,Phoenix Suns,1
Orlando Magic,Portland Trail Blazers,1
Orlando Magic,Sacramento Kings,1
Orlando Magic,San Antonio Spurs,1
Orlando Magic,Toronto Raptors,2
Orlando Magic,Utah Jazz,0
Orlando Magic,Washington Wizards,2
Philadelphia 76ers,Atlanta Hawks,0
Philadelphia 76ers,Boston Celtics,1
Philadelphia 76ers,Brooklyn Nets,3
Philadelphia 76ers,Charlotte Hornets,2
Philadelphia 76ers,Chicago Bulls,1
Philadelphia 76ers,Cleveland Cavaliers,0
Philadelphia 76ers,Dallas Mavericks,1
Philadelphia 76ers,Denver Nuggets,1
Philadelphia 76ers,Detroit Pistons,1
Philadelphia 76ers,Golden State Warriors,0
Philadelphia 76ers,Houston Rockets,0
Philadelphia 76ers,Indiana Pacers,1
Philadelphia 76ers,Los Angeles Clippers,1
Philadelphia 76ers,Los Angeles Lakers,1
